Family,Genus,Species,Authority,Chromosome number,Ploidy level,Estimation method,Voucher,1C (pg),Original Reference,Lifecycle,Group,Paper,Name,History of Polyploidy,Repeated Sample,Non-multiple,Minimum,Missing Data,Possible Hybrid,Both,Chromploid
FABACEAE,Acacia,greggii,"A.Gray, P.L.Wright",26,2,Fe,N,1.78,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_greggii,,,,1,,,1,1
FABACEAE,Acacia,heterophylla,,26,2,FC,-,0.8,"Marie and Brown, 1993 (Ref. 290)",-,Eudicot,1997,Acacia_heterophylla,1,,,1,,,1,1
FABACEAE,Acacia,heterophylla,Willd.,52,4,FC:EB,N,1.6,"Coulaud et al., 1995 (Ref. 692)",P,Eudicot,2012,Acacia_heterophylla,1,,,0,,,1,0
FABACEAE,Acacia,holosericea,A.Cunn. ex G.Don,52,4,Fe,N,1.75,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_holosericea,,,,1,,,1,1
FABACEAE,Acacia,hylonoma,L.Pedley,26,2,Fe,N,1.4,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_hylonoma,,,,1,,,1,1
FABACEAE,Acacia,implexa,Benth.,26,2,FC:PI,N,0.8,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_implexa,,,,1,,,1,1
FABACEAE,Acacia,irrorata,Sieber,26,2,Fe,N,1.78,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_irrorata,,,,1,,,1,1
FABACEAE,Acacia,iteaphylla,F.Muell. ex Benth.,26,2,Fe,N,1.93,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_iteaphylla,,,,1,,,1,1
FABACEAE,Acacia,leiocalyx,(Domin) Pedley,26,2,Fe,N,1.58,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_leiocalyx,,,,1,,,1,1
FABACEAE,Acacia,leptocarpa,A.Cunn. ex Benth.,26,2,Fe,N,1.23,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_leptocarpa,,,,1,,,1,1
FABACEAE,Acacia,leucophloea,Willd.,52,4,Fe,N,1.68,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_leucophloea,,,,1,,,1,1
FABACEAE,Acacia,ligulata,A.Cunn.,26,2,Fe,N,1.63,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_ligulata,,,,1,,,1,1
FABACEAE,Acacia,longispicata,Benth.,26,2,Fe,N,1.88,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_longispicata,,,,1,,,1,1
FABACEAE,Acacia,maidenii,F.Muell.,26,2,Fe,N,1.45,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_maidenii,,,,1,,,1,1
FABACEAE,Acacia,mangium,Willd.,26,2,FC:PI,Y,0.65,"Blakesley et al., 2002 (Ref. 441)",P,Eudicot,2005a,Acacia_mangium,,,,1,,,1,1
FABACEAE,Acacia,mearnsii,Willd.,26,2,FC:PI,N,0.7,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_mearnsii,,,,1,,,1,1
FABACEAE,Acacia,melanoxylon,Roxb.,26,2,FC:PI,N,0.75,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_melanoxylon,,,,1,,,1,1
FABACEAE,Acacia,mellifera,(Vahal) Benth.,26,2,FC:PI,N,0.6,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_mellifera,,,,1,,,1,1
FABACEAE,Acacia,modesta,Wall.,26,2,Fe,Y,0.6,"Ohri, 1996 (Ref. 301)",P,Eudicot,1997,Acacia_modesta,,,,1,,,1,1
FABACEAE,Acacia,nilotica,(L.) Willd. ex Del.,52,4,FC:PI,N,0.55,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_nilotica,1,,,0,,,1,0
FABACEAE,Acacia,nilotica,(L.) Willd. ex Del.,104,8,FC:PI,N,1.1,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_nilotica,1,,,0,,,1,0
